class,games,wins,losses,draws,technical_failures,p0_3iar_wins,p0_count_wins,match_score,unique_openings,exit_status
BASE,100,85,13,2,0,76,9,0.86,1,0
MM,100,81,18,1,0,79,2,0.815,1,0
MD,100,86,10,4,0,81,5,0.88,4,0
MC,100,90,10,0,0,80,10,0.9,4,0
DM,100,78,18,4,0,73,5,0.8,4,0
DD,100,86,12,2,0,79,7,0.87,16,0
DC,100,80,17,3,0,65,15,0.815,16,0
CM,100,79,16,5,0,72,7,0.815,4,0
CD,100,83,12,5,0,81,2,0.855,16,0
CC,100,85,10,5,0,76,9,0.875,16,0
