metadata,bot_id,hello
p0,MM-009-R1MM,MM-009-R1MM
p1,(no --HELLO response),(no --HELLO response)

worker,games,wins,losses,draws,technical_failures,p0_3iar_wins,p0_count_wins,p0_dfs_failed,p0_dfs_failed_primary,p0_dfs_failed_narrow,p0_stats_games,p0_search_us,p0_positions_scored,p0_cache_hits,p0_cert_leaf_hits,p0_cert_internal_hits,p0_positions_per_second,p1_3iar_wins,p1_count_wins,p1_dfs_failed,p1_dfs_failed_primary,p1_dfs_failed_narrow,p1_stats_games,p1_search_us,p1_positions_scored,p1_cache_hits,p1_cert_leaf_hits,p1_cert_internal_hits,p1_positions_per_second,match_score
1,25,19,3,3,0,18,1,0,0,0,25,54584426,105724774,10641130,1517303,1120046,1936904,3,0,0,0,0,0,0,0,0,0,0,,0.82
2,25,17,6,2,0,15,2,0,0,0,25,54187511,105814881,9035981,1180214,640639,1952754,6,0,0,0,0,0,0,0,0,0,0,,0.72
3,25,22,3,0,0,18,4,0,0,0,25,54352236,108879748,7597601,1571778,166763,2003225,2,1,0,0,0,0,0,0,0,0,0,,0.88
4,25,19,4,2,0,16,3,0,0,0,25,57192684,113081794,9977502,1426324,620799,1977207,4,0,0,0,0,0,0,0,0,0,0,,0.8
TOTAL,100,77,16,7,0,67,10,0,0,0,100,220316857,433501197,37252214,5695619,2548247,1967626,15,1,0,0,0,0,0,0,0,0,0,,0.805
