worker,game,seed,opening_row,opening_col,opening_grid,opening_cell,starting_player,winner,failure_player,reason,plies,trace_hash,win_type,p0_dfs_failed,p1_dfs_failed,p0_dfs_failed_primary,p0_dfs_failed_narrow,p1_dfs_failed_primary,p1_dfs_failed_narrow,p0_stats_present,p0_search_us,p0_positions_scored,p0_cache_hits,p1_stats_present,p1_search_us,p1_positions_scored,p1_cache_hits
2,9,21261010,1,0,0,3,1,1,-1,played,45,d87a5c2277424f32,3iar,0,0,0,0,0,0,1,2604521,3722316,262089,0,0,0,0
2,10,21261011,4,4,4,4,0,0,-1,played,43,ea091309122475fa,3iar,0,0,0,0,0,0,1,1621043,2608652,200782,0,0,0,0
2,11,21261012,1,0,0,3,1,0,-1,played,52,4f7fc5a3bac22ea3,3iar,0,0,0,0,0,0,1,2714957,3922158,251684,0,0,0,0
2,12,21261013,4,4,4,4,0,1,-1,played,60,48814b2ad4c74922,3iar,0,0,0,0,0,0,1,2200794,3490926,419980,0,0,0,0
2,13,21261014,1,0,0,3,1,1,-1,played,47,a014fbe3d63b8e1f,3iar,0,0,0,0,0,0,1,2790746,4193288,272723,0,0,0,0
2,14,21261015,4,4,4,4,0,0,-1,played,59,f712c31adf8c5277,3iar,0,0,0,0,0,0,1,2020698,3300139,256538,0,0,0,0
2,15,21261016,1,0,0,3,1,0,-1,played,42,c40866cc3ac3aa18,3iar,0,0,0,0,0,0,1,2437610,3644645,271283,0,0,0,0
2,16,21261017,4,4,4,4,0,0,-1,played,57,c62cbbd40442b922,3iar,0,0,0,0,0,0,1,2126330,3618568,259753,0,0,0,0
2,17,21261018,1,0,0,3,1,1,-1,played,53,4bd840f8235c351f,3iar,0,0,0,0,0,0,1,2974239,4412707,479060,0,0,0,0
2,18,21261019,4,4,4,4,0,0,-1,played,39,6830d99d020b948a,3iar,0,0,0,0,0,0,1,1533905,2657137,146161,0,0,0,0
2,19,21261020,1,0,0,3,1,0,-1,played,52,02def0e8c6bcc324,3iar,0,0,0,0,0,0,1,2790905,4185718,194443,0,0,0,0
2,20,21261021,4,4,4,4,0,0,-1,played,59,91c971e9bdf912d6,3iar,0,0,0,0,0,0,1,2079216,3432890,362946,0,0,0,0
2,21,21261022,1,0,0,3,1,0,-1,played,54,fb269abd6eaf8f74,3iar,0,0,0,0,0,0,1,2715279,4117687,276177,0,0,0,0
