worker,game,seed,opening_row,opening_col,opening_grid,opening_cell,starting_player,winner,failure_player,reason,plies,trace_hash,win_type,p0_dfs_failed,p1_dfs_failed,p0_dfs_failed_primary,p0_dfs_failed_narrow,p1_dfs_failed_primary,p1_dfs_failed_narrow,p0_stats_present,p0_search_us,p0_positions_scored,p0_cache_hits,p0_cert_leaf_hits,p0_cert_internal_hits,p1_stats_present,p1_search_us,p1_positions_scored,p1_cache_hits,p1_cert_leaf_hits,p1_cert_internal_hits
2,4,21261005,4,4,4,4,0,1,-1,played,44,803aefaed365f25a,3iar,0,0,0,0,0,0,1,1807639,4285826,213243,65997,14664,0,0,0,0,0,0
2,5,21261006,1,0,0,3,1,0,-1,played,44,7f63d93af167068e,3iar,0,0,0,0,0,0,1,2610844,5015581,645346,38570,24835,0,0,0,0,0,0
2,6,21261007,4,4,4,4,0,2,-1,played,48,d5b5acc7d8dac342,draw,0,0,0,0,0,0,1,2070252,3784376,569521,115474,426517,0,0,0,0,0,0
2,7,21261008,1,0,0,3,1,0,-1,played,44,e64eae53f3afd56a,3iar,0,0,0,0,0,0,1,2431729,4440901,242603,80848,6620,0,0,0,0,0,0
2,8,21261009,4,4,4,4,0,0,-1,played,59,0f1fb04f69d90420,3iar,0,0,0,0,0,0,1,2073510,4641475,324481,89332,10203,0,0,0,0,0,0
2,9,21261010,1,0,0,3,1,0,-1,played,46,df778efd8413b55a,3iar,0,0,0,0,0,0,1,2700461,5256256,369478,72426,13507,0,0,0,0,0,0
2,10,21261011,4,4,4,4,0,1,-1,played,38,7aec831c819fced5,3iar,0,0,0,0,0,0,1,1533493,3550740,299352,67479,3534,0,0,0,0,0,0
2,11,21261012,1,0,0,3,1,0,-1,played,46,7e33216b634f12ef,3iar,0,0,0,0,0,0,1,2700342,5241631,632624,78077,175117,0,0,0,0,0,0
2,12,21261013,4,4,4,4,0,0,-1,played,49,22b52f5a96b4fdee,3iar,0,0,0,0,0,0,1,1719181,4001311,289165,22233,626,0,0,0,0,0,0
2,13,21261014,1,0,0,3,1,0,-1,played,36,b580675e6df68ae8,3iar,0,0,0,0,0,0,1,2161409,4168056,188423,34776,4302,0,0,0,0,0,0
2,14,21261015,4,4,4,4,0,1,-1,played,64,bf5d569a51033d12,count,0,0,0,0,0,0,1,2343719,5014784,593419,82747,34157,0,0,0,0,0,0
2,15,21261016,1,0,0,3,1,0,-1,played,42,c40866cc3ac3aa18,3iar,0,0,0,0,0,0,1,2433211,4850772,364861,26442,5793,0,0,0,0,0,0
2,16,21261017,4,4,4,4,0,0,-1,played,49,dcd1a9097c0b6e79,3iar,0,0,0,0,0,0,1,1901963,4311721,219519,11248,1589,0,0,0,0,0,0
2,17,21261018,1,0,0,3,1,0,-1,played,44,3a99ac33935c4341,3iar,0,0,0,0,0,0,1,2612687,5140155,495028,85762,6401,0,0,0,0,0,0
2,18,21261019,4,4,4,4,0,0,-1,played,39,6830d99d020b948a,3iar,0,0,0,0,0,0,1,1501433,3471463,169889,81965,5008,0,0,0,0,0,0
2,19,21261020,1,0,0,3,1,0,-1,played,46,f5c13424017e348b,3iar,0,0,0,0,0,0,1,2610465,5275087,389795,16723,5362,0,0,0,0,0,0
2,20,21261021,4,4,4,4,0,1,-1,played,48,9b7bac9f5fa38b63,3iar,0,0,0,0,0,0,1,1921570,4295702,346878,50550,3746,0,0,0,0,0,0
2,21,21261022,1,0,0,3,1,0,-1,played,58,fae14e1f27669a6c,count,0,0,0,0,0,0,1,2970508,5933754,641943,62363,15248,0,0,0,0,0,0
2,22,21261023,4,4,4,4,0,1,-1,played,34,3261fa9a0a03cf20,3iar,0,0,0,0,0,0,1,1351132,2802407,136357,2960,19987,0,0,0,0,0,0
2,23,21261024,1,0,0,3,1,0,-1,played,38,d6339a5bd0491259,3iar,0,0,0,0,0,0,1,2431927,4400825,364305,152714,8935,0,0,0,0,0,0
2,24,21261025,4,4,4,4,0,0,-1,played,49,9e2a4f066f93db83,3iar,0,0,0,0,0,0,1,1800499,4015330,497076,12282,5629,0,0,0,0,0,0
3,0,22261001,4,4,4,4,0,0,-1,played,51,55301d1bec4fc7ec,3iar,0,0,0,0,0,0,1,1981688,4704986,314496,22173,2326,0,0,0,0,0,0
3,1,22261002,1,0,0,3,1,1,-1,played,45,fcad3a0fd7fe93ee,3iar,0,0,0,0,0,0,1,2610629,4762478,378168,39749,4411,0,0,0,0,0,0
3,2,22261003,4,4,4,4,0,0,-1,played,47,818c4be3532bfbbb,3iar,0,0,0,0,0,0,1,1890340,4527707,220385,23599,5231,0,0,0,0,0,0
3,3,22261004,1,0,0,3,1,0,-1,played,38,2420b4930be21830,3iar,0,0,0,0,0,0,1,2354599,4495332,203794,43852,1446,0,0,0,0,0,0
3,4,22261005,4,4,4,4,0,0,-1,played,55,b3ad3d0c7e42c43a,3iar,0,0,0,0,0,0,1,2070570,4843130,318780,20671,5966,0,0,0,0,0,0
3,5,22261006,1,0,0,3,1,0,-1,played,42,7449df6ad416faca,3iar,0,0,0,0,0,0,1,2344597,4397000,179233,42605,2253,0,0,0,0,0,0
3,6,22261007,4,4,4,4,0,0,-1,played,57,ebb7c1622c14a1f0,3iar,0,0,0,0,0,0,1,2076451,4701753,364486,139188,14386,0,0,0,0,0,0
3,7,22261008,1,0,0,3,1,0,-1,played,42,c76789387e7fcb9d,3iar,0,0,0,0,0,0,1,2525013,4931512,280189,84706,8541,0,0,0,0,0,0
3,8,22261009,4,4,4,4,0,1,-1,played,44,3a851590643b9fe9,3iar,0,0,0,0,0,0,1,1710652,3808979,326417,38870,8066,0,0,0,0,0,0
3,9,22261010,1,0,0,3,1,0,-1,played,42,4a7600b989d95baf,3iar,0,0,0,0,0,0,1,2431092,4699665,228935,82518,5380,0,0,0,0,0,0
3,10,22261011,4,4,4,4,0,0,-1,played,53,a22e1038fa430dd9,3iar,0,0,0,0,0,0,1,1444563,3375272,101929,6518,252,0,0,0,0,0,0
